HIP,赤経時,赤経分,赤経秒,赤緯度,赤緯分,赤緯秒,視等級,年周視差,赤経方向固有運動,赤緯方向固有運動,B-V色指数,V-I色指数,スペクトル分類
100751,20,25,38.85,-56,44,5.6,1.94,17.8,7.71,-86.15,-0.118,-0.1,B2IV
101421,20,33,12.76,11,18,12,4.03,9.09,10.75,-28.54,-0.123,-0.1,B6III
101769,20,37,32.87,14,35,42.7,3.64,33.49,118.28,-47.65,0.425,0.5,F5IV
101772,20,37,33.99,-47,17,30,3.11,32.21,49.2,66.07,0.998,0.98,K0III
101958,20,39,38.25,15,54,43.4,3.77,13.55,54.14,7.91,-0.057,-0.01,B9V
102098,20,41,25.91,45,16,49.2,1.25,1.01,1.56,1.55,0.092,0.16,A2Ia
102281,20,43,27.55,15,4,28.9,4.43,16.03,-19.61,-41.74,0.302,0.34,A7IIIp d Del
102395,20,44,57.56,-66,12,11.7,3.42,23.71,-42.4,10.57,0.163,0.2,A5IV
102485,20,46,5.77,-25,16,13.9,4.13,68.16,-51.38,-156.66,0.426,0.49,F5V
102488,20,46,12.43,33,58,10,2.48,45.26,356.16,330.28,1.021,1,K0III
102532,20,46,39.52,16,7,29.2,4.27,32.14,-25.88,-196.27,1.042,1.03,K1IV
102618,20,47,40.53,-9,29,44.5,3.78,14.21,31.89,-35.32,0,-0.01,A1V
102831,20,49,58.08,-33,46,46.8,4.89,8.57,3.71,-20.19,1.004,0.97,G8III
102978,20,51,49.3,-26,55,8.9,4.12,5.19,-7.97,-2.54,1.633,1.76,K4III
103227,20,54,48.58,-58,27,14.7,3.67,5.41,21.06,-24.75,1.25,1.11,K0III
103738,21,1,17.46,-32,15,28,4.67,14.59,-2.09,-0.19,0.89,0.9,G8III
104139,21,5,56.78,-17,13,57.8,4.08,20.61,79.64,-61.64,-0.01,0,A1V
104521,21,10,20.47,10,7,55,4.7,28.38,49.07,-151.85,0.262,0.26,F0p
104732,21,12,56.18,30,13,37.5,3.21,21.62,6.87,-68.12,0.99,0.97,G8II SB
104858,21,14,28.79,10,0,27.8,4.47,54.11,42.32,-303.43,0.529,0.57,F5V+...
104987,21,15,49.4,5,14,53.1,3.92,17.51,59.63,-94.33,0.549,0.62,G0III+...
105140,21,17,56.25,-32,10,20.9,4.71,19.76,55.46,-22.12,0.07,0.09,A0V
105199,21,18,34.58,62,35,7.6,2.45,66.84,149.91,48.27,0.257,0.26,A7IV-V
105319,21,19,51.88,-53,26,57.4,4.39,33.58,107.37,-67.12,0.191,0.21,A5V
105515,21,22,14.78,-16,50,4.4,4.28,15.13,30.83,5.26,0.888,0.89,G8III
105570,21,22,53.58,6,48,40,5.16,9.06,52.66,11.15,0.064,0.07,A3V
105858,21,26,26.49,-65,22,5.3,4.21,108.5,81.08,800.68,0.494,0.61,F6V
105881,21,26,40.03,-22,24,41,3.77,8.19,-2.61,18.88,1.002,0.88,G4Ibp...
106032,21,28,39.58,70,33,38.5,3.23,5.48,12.6,8.73,-0.201,-0.25,B2IIIv SB
106278,21,31,33.52,-5,34,16.2,2.9,5.33,22.79,-6.7,0.828,0.82,G0Ib
106985,21,40,5.34,-16,39,44.1,3.69,23.48,187.39,-22.33,0.32,0.32,A7III:mp...
107089,21,41,28.47,-77,23,22.1,3.73,47.22,64.83,-240.38,1.008,0.98,K0III
107310,21,44,8.4,28,44,35.6,4.49,44.64,260.33,-242.73,0.512,0.58,F6V
107315,21,44,11.14,9,52,30,2.38,4.85,30.02,1.38,1.52,1.42,K2Ibvar
107354,21,44,38.7,25,38,42,4.14,28.34,46.66,13.47,0.425,0.48,F5IV
107556,21,47,2.29,-16,7,35.6,2.85,84.58,263.26,-296.23,0.18,0.35,A5mF2 (IV)
107608,21,47,44.17,-30,53,53.9,5.02,9.63,-34.53,0.64,0.042,0.06,A1V
108085,21,53,55.65,-37,21,53.4,3,16.07,95.88,-12.1,-0.084,-0.1,B8III
108661,22,0,50.22,-28,27,13.5,5.43,3.22,14.81,0.3,-0.095,-0.08,B8/B9V+...
109074,22,5,47.03,0,19,11.4,2.95,4.3,17.9,-9.93,0.969,0.92,G2Ib
109111,22,6,6.9,-39,32,35,4.47,13.2,-24.16,-125.17,1.349,1.31,M0III
109139,22,6,26.21,-13,52,10.3,4.29,18.9,40.45,-57.16,-0.075,-0.06,B8V
109176,22,7,0.47,25,20,42.2,3.77,85.06,296.73,26.93,0.435,0.51,F5V
109268,22,8,13.88,-46,57,38.2,1.73,32.16,127.6,-147.91,-0.07,-0.05,B7IV
109352,22,9,13.68,33,10,21,5.58,11.51,-60,-65.86,0.985,0.97,G6III:
109422,22,10,8.48,-32,32,54.4,4.94,53.36,428.62,13.83,0.489,0.54,F6V
109427,22,10,11.82,6,11,52,3.52,33.77,281.96,31.23,0.086,0.09,A2V
109492,22,10,51.26,58,12,4.5,3.39,4.49,13.35,4.49,1.558,1.58,K1Ibv SB
109937,22,15,58.17,37,44,55.4,4.14,5.2,8.74,0.76,1.447,1.33,K3III
110003,22,16,49.97,-7,46,59.7,4.17,17.04,118.95,-21.91,0.979,0.95,G8III-IV
110130,22,18,30.18,-60,15,34.2,2.87,16.42,-71.48,-38.15,1.39,1.37,K3III
110395,22,21,39.3,-1,23,14.5,3.86,20.67,129.24,8.9,-0.057,-0.06,A0V
110538,22,23,33.64,52,13,46.2,4.42,19.21,-13.56,-186.37,1.015,1.03,G9III
110609,22,24,31,49,28,35,4.55,1.54,-5.12,-3.37,0.092,0.18,B9Iab
110960,22,28,49.8,0,1,12.2,3.65,31.53,191.32,37.47,0.406,0.5,F3III-IV
